score,tourney_date
4-6 2-6 6-4 6-3 6-4,19900827
7-5 6-4 6-0,19900827
5-7 5-7 6-3 7-6 6-1,19900827
6-4 7-6 7-6,19900827
4-6 4-6 6-2 7-6 6-0,19900827
6-4 6-2 6-2,19900827
7-5 7-6 4-6 6-4,19900827
7-6 3-6 4-6 6-4 6-3,19900827
6-0 6-3 6-4,19900827
6-7 7-6 6-4 6-3,19900827
6-4 6-4 7-5,19900827
7-5 6-0 6-2,19900827
6-3 6-4 6-4,19900827
2-6 6-2 6-3 3-6 6-4,19900827
6-1 6-4 6-4,19900827
6-4 7-6 3-6 4-6 6-2,19900827
6-2 6-2 6-3,19900827
3-6 6-3 6-2 6-3,19900827
6-2 6-4 3-6 6-3,19900827
6-7 6-3 6-2 6-3,19900827
6-4 6-3 6-2,19900827
6-4 6-1,19900205
6-7 6-1 7-5,19900205
2-6 6-4 6-1,19900205
6-2 6-4,19900205
7-5 6-3,19900205
6-4 6-0,19900205
2-6 6-4 6-1,19900205
3-6 6-4 6-4,19900205
3-6 6-2 6-1,19900205
6-4 6-0,19900205
6-0 6-4,19900205
7-6 7-6,19900205
6-2 6-3,19900205
6-4 6-3,19900205
5-7 6-4 6-4,19900205
7-6 6-3,19900205
6-3 6-0,19900205
6-4 7-5,19900205
4-6 7-6 6-4,19900205
6-3 6-4,19900205
6-4 6-1,19900205
5-7 6-0 6-4,19900205
7-6 3-1 RET,19900205
6-1 6-2,19900205
7-5 6-0,19900205
6-3 6-2,19900205
6-4 6-1,19900205
7-5 6-2,19900205
6-4 6-2,19900205
6-2 3-6 6-3,19900205
3-6 6-4 6-3,19900205
6-4 1-0 RET,19900618
6-4 4-6 7-6,19900618
6-3 7-6,19900618
6-3 0-6 6-2,19900618
6-3 6-4,19900618
7-6 4-6 6-4,19900618
4-6 6-4 6-3,19900618
7-6 7-5,19900618
2-6 6-4 6-4,19900618
4-6 6-3 7-5,19900618
1-6 6-2 6-3,19900618
6-7 6-4 7-6,19900618
7-6 4-6 6-4,19900618
5-7 6-4 6-2,19900618
6-7 6-1 6-3,19900618
4-6 7-6 7-6,19900618
6-2 7-5,19900618
6-3 7-6,19900618
7-6 7-6,19900618
7-6 2-6 6-0,19900618
6-3 6-3,19900618
7-6 7-6,19900618
7-6 6-7 6-3,19900618
4-6 6-3 6-2,19900618
3-6 7-5 6-1,19900618
6-1 6-3,19900618
6-2 6-4,19900618
6-3 7-6,19900618
6-4 7-6,19900618
6-7 6-4 6-4,19900618
7-6 7-6,19900618
6-4 7-6,19900205
6-2 6-4,19900205
7-6 3-6 6-3,19900205
7-6 6-3,19900205
6-2 7-5,19900205
7-5 5-7 7-5,19900205
6-4 6-3,19900205
6-2 3-6 6-3,19900205
6-3 7-6,19900205
7-5 3-0 RET,19900205
6-2 6-4,19900205
6-4 6-7 6-3,19900205
7-6 7-6,19900205
6-7 6-1 7-6,19900205
6-4 5-7 6-2,19900205
6-2 6-7 6-0,19900205
6-4 6-3,19900205
6-1 6-3,19900205
4-6 6-3 6-3,19900205
6-3 7-6,19900205
6-2 6-7 6-4,19900205
